Iteration,Best Accuracy,Best Kernel,Best Nu
0,0.9993418887792037,poly,0.15584847331831492
1,0.9993418887792037,poly,0.15584847331831492
2,0.9996709443896018,linear,0.025886679777352803
3,0.9996709443896018,linear,0.025886679777352803
4,0.9996709443896018,linear,0.025886679777352803
5,0.9996709443896018,linear,0.025886679777352803
6,0.9996709443896018,linear,0.025886679777352803
7,0.9996709443896018,linear,0.025886679777352803
8,0.9996709443896018,linear,0.025886679777352803
9,0.9996709443896018,linear,0.025886679777352803
10,0.9996709443896018,linear,0.025886679777352803
11,0.9996709443896018,linear,0.025886679777352803
12,0.9996709443896018,linear,0.025886679777352803
13,0.9996709443896018,linear,0.025886679777352803
14,0.9996709443896018,linear,0.025886679777352803
15,0.9996709443896018,linear,0.025886679777352803
16,0.9996709443896018,linear,0.025886679777352803
17,0.9996709443896018,linear,0.025886679777352803
18,0.9996709443896018,linear,0.025886679777352803
19,0.9996709443896018,linear,0.025886679777352803
20,0.9996709443896018,linear,0.025886679777352803
21,0.9996709443896018,linear,0.025886679777352803
22,0.9996709443896018,linear,0.025886679777352803
23,0.9996709443896018,linear,0.025886679777352803
24,0.9996709443896018,linear,0.025886679777352803
25,0.9996709443896018,linear,0.025886679777352803
26,0.9996709443896018,linear,0.025886679777352803
27,0.9996709443896018,linear,0.025886679777352803
28,0.9996709443896018,linear,0.025886679777352803
29,0.9996709443896018,linear,0.025886679777352803
30,0.9996709443896018,linear,0.025886679777352803
31,0.9996709443896018,linear,0.025886679777352803
32,0.9996709443896018,linear,0.025886679777352803
33,0.9996709443896018,linear,0.025886679777352803
34,0.9996709443896018,linear,0.025886679777352803
35,0.9996709443896018,linear,0.025886679777352803
36,0.9996709443896018,linear,0.025886679777352803
37,0.9996709443896018,linear,0.025886679777352803
38,0.9996709443896018,linear,0.025886679777352803
39,0.9996709443896018,linear,0.025886679777352803
40,0.9996709443896018,linear,0.025886679777352803
41,0.9996709443896018,linear,0.025886679777352803
42,0.9996709443896018,linear,0.025886679777352803
43,0.9996709443896018,linear,0.025886679777352803
44,0.9996709443896018,linear,0.025886679777352803
45,0.9996709443896018,linear,0.025886679777352803
46,0.9996709443896018,linear,0.025886679777352803
47,0.9996709443896018,linear,0.025886679777352803
48,0.9996709443896018,linear,0.025886679777352803
49,0.9996709443896018,linear,0.025886679777352803
50,0.9996709443896018,linear,0.025886679777352803
51,0.9996709443896018,linear,0.025886679777352803
52,0.9996709443896018,linear,0.025886679777352803
53,0.9996709443896018,linear,0.025886679777352803
54,0.9996709443896018,linear,0.025886679777352803
55,0.9996709443896018,linear,0.025886679777352803
56,0.9996709443896018,linear,0.025886679777352803
57,0.9996709443896018,linear,0.025886679777352803
58,0.9996709443896018,linear,0.025886679777352803
59,0.9996709443896018,linear,0.025886679777352803
60,0.9996709443896018,linear,0.025886679777352803
61,0.9996709443896018,linear,0.025886679777352803
62,0.9996709443896018,linear,0.025886679777352803
63,0.9996709443896018,linear,0.025886679777352803
64,0.9996709443896018,linear,0.025886679777352803
65,0.9996709443896018,linear,0.025886679777352803
66,0.9996709443896018,linear,0.025886679777352803
67,0.9996709443896018,linear,0.025886679777352803
68,0.9996709443896018,linear,0.025886679777352803
69,0.9996709443896018,linear,0.025886679777352803
70,0.9996709443896018,linear,0.025886679777352803
71,0.9996709443896018,linear,0.025886679777352803
72,0.9996709443896018,linear,0.025886679777352803
73,0.9996709443896018,linear,0.025886679777352803
74,0.9996709443896018,linear,0.025886679777352803
75,0.9996709443896018,linear,0.025886679777352803
76,0.9996709443896018,linear,0.025886679777352803
77,0.9996709443896018,linear,0.025886679777352803
78,0.9996709443896018,linear,0.025886679777352803
79,0.9996709443896018,linear,0.025886679777352803
80,0.9996709443896018,linear,0.025886679777352803
81,0.9996709443896018,linear,0.025886679777352803
82,0.9996709443896018,linear,0.025886679777352803
83,0.9996709443896018,linear,0.025886679777352803
84,0.9996709443896018,linear,0.025886679777352803
85,0.9996709443896018,linear,0.025886679777352803
86,0.9996709443896018,linear,0.025886679777352803
87,0.9996709443896018,linear,0.025886679777352803
88,0.9996709443896018,linear,0.025886679777352803
89,0.9996709443896018,linear,0.025886679777352803
90,0.9996709443896018,linear,0.025886679777352803
91,0.9996709443896018,linear,0.025886679777352803
92,0.9996709443896018,linear,0.025886679777352803
93,0.9996709443896018,linear,0.025886679777352803
94,0.9996709443896018,linear,0.025886679777352803
95,0.9996709443896018,linear,0.025886679777352803
96,0.9996709443896018,linear,0.025886679777352803
97,0.9996709443896018,linear,0.025886679777352803
98,0.9996709443896018,linear,0.025886679777352803
99,0.9996709443896018,linear,0.025886679777352803
